CONTRACT_ID,PLAN_ID,SEGMENT_ID,CONTRACT_NAME,PLAN_NAME,FORMULARY_ID,PREMIUM,DEDUCTIBLE,MA_REGION_CODE,PDP_REGION_CODE,STATE,COUNTY_CODE,SNP,PLAN_SUPPRESSED_YN
H5050,009,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Essential (HMO),00026429,0.00,0, , ,WA,50200,0,N
H5050,009,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Essential (HMO),00026429,0.00,0, , ,WA,50220,0,N
H5050,017,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Harbor (HMO),00026429,51.30,100, , ,WA,50140,0,N
H5050,017,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Harbor (HMO),00026429,51.30,100, , ,WA,50280,0,N
H5050,017,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Harbor (HMO),00026429,51.30,100, , ,WA,50360,0,N
H5050,019,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Columbia (HMO),00026429,20.90,0, , ,WA,50310,0,N
H5050,021,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Centennial (HMO),00026429,0.00,0, , ,WA,50310,0,N
H5050,022,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Key (HMO),00026429,0.00,0, , ,WA,50140,0,N
H5050,023,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Anchor (HMO),00026429,0.00,110, , ,WA,50280,0,N
H5050,023,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Anchor (HMO),00026429,0.00,110, , ,WA,50360,0,N
H5050,024,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Essential Kng (HMO),00026429,0.00,0, , ,WA,50160,0,N
H5050,025,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Essential Pce (HMO),00026429,0.00,0, , ,WA,50260,0,N
H5050,026,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Essential Sno (HMO),00026429,8.10,0, , ,WA,50300,0,N
H5050,027,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Essential Thu (HMO),00026429,0.00,0, , ,WA,50330,0,N
H5050,028,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Key King (HMO),00026429,0.00,0, , ,WA,50160,0,N
H5050,029,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Key Pierce (HMO),00026429,0.00,0, , ,WA,50260,0,N
H5050,030,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Key Snohomish (HMO),00026429,0.00,0, , ,WA,50300,0,N
H5050,031,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Key Thurston (HMO),00026429,0.00,0, , ,WA,50330,0,N
H5050,032,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Vital Sound (HMO),00026429,0.00,0, , ,WA,50130,0,N
H5050,032,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Vital Sound (HMO),00026429,0.00,0, , ,WA,50170,0,N
H5050,032,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Vital Sound (HMO),00026429,0.00,0, , ,WA,50200,0,N
H5050,032,000,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,Kaiser Permanente Medicare Advantage Vital Sound (HMO),00026429,0.00,0, , ,WA,50220,0,N
S5743,001,000,"WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY",MedicareBlue Rx Standard (PDP),00026248,101.00,615, ,25, , ,0,N
