FORMULARY_ID,FORMULARY_VERSION,CONTRACT_YEAR,RXCUI,NDC,TIER_LEVEL_VALUE,QUANTITY_LIMIT_YN,QUANTITY_LIMIT_AMOUNT,QUANTITY_LIMIT_DAYS,PRIOR_AUTHORIZATION_YN,STEP_THERAPY_YN,SELECTED_DRUG_YN
00026356,11,2026,402012,00480145308,5,Y,2,28,N,N,N
00026356,11,2026,706822,00480155408,2,Y,2,28,N,N,N
00026356,11,2026,1111106,00480259634,5,Y,20,10,N,N,N
00026356,11,2026,1666332,00480268806,2,N, , ,N,N,N
00026356,11,2026,2675205,00480327356,5,Y,60,30,Y,N,N
00026356,11,2026,2675193,00480327456,5,Y,60,30,Y,N,N
00026356,11,2026,2675197,00480327556,5,Y,60,30,Y,N,N
00026356,11,2026,2675201,00480327656,5,Y,60,30,Y,N,N
00026356,11,2026,794639,00480347906,2,Y,120,30,N,N,N
00026356,11,2026,750265,00480349316,2,N, , ,N,N,N
00026356,11,2026,1868014,00480361087,5,Y,270,30,Y,N,N
00026356,11,2026,1868018,00480361198,5,Y,90,30,Y,N,N
00026356,11,2026,616578,00480413806,2,Y,60,30,N,N,N
00026356,11,2026,1356557,00480706256,2,Y,30,30,N,Y,N
00026356,11,2026,1356570,00480706356,5,Y,60,30,N,Y,N
00026356,11,2026,1356574,00480706556,5,Y,60,30,N,Y,N
00026356,11,2026,1356578,00480706656,5,Y,30,30,N,Y,N
00026356,11,2026,1356582,00480706756,5,Y,30,30,N,Y,N
00026356,11,2026,1356586,00480706856,5,Y,30,30,N,Y,N
00026356,11,2026,2110455,00480927706,2,Y,60,30,Y,N,N
00026356,11,2026,836358,00487980125,2,N, , ,Y,N,N
00026356,11,2026,245314,00487990130,2,N, , ,Y,N,N
00026356,11,2026,485968,00517095501,2,Y,30,30,N,N,N
00026356,11,2026,307718,00517750425,2,N, , ,Y,N,N
00026356,11,2026,991061,00527058601,2,N, , ,N,N,N
00026356,11,2026,1000913,00527131301,2,N, , ,N,N,N
00026356,11,2026,858747,00527132601,2,N, , ,N,N,N
00026356,11,2026,197392,00527133701,2,N, , ,N,N,N
00026356,11,2026,198152,00527136701,2,N, , ,N,N,N
00026356,11,2026,311386,00527139401,2,N, , ,N,N,N
00026356,11,2026,314078,00527139501,2,N, , ,N,N,N
00026356,11,2026,311385,00527139601,2,N, , ,N,N,N
00026356,11,2026,314075,00527139701,2,N, , ,N,N,N
00026356,11,2026,1001004,00527140701,4,N, , ,N,N,N
00026356,11,2026,198316,00527163210,1,N, , ,N,N,N
00026356,11,2026,238154,00527169505,2,Y,180,30,Y,N,N
00026356,11,2026,865117,00527178801,4,N, , ,N,N,N
00026356,11,2026,865123,00527178901,4,N, , ,N,N,N
00026356,11,2026,860918,00527179001,4,N, , ,N,N,N
00026356,11,2026,859841,00527179101,4,N, , ,N,N,N
00026356,11,2026,197516,00527193106,2,N, , ,N,N,N
00026356,11,2026,477391,00527194866,4,N, , ,N,N,N
00026356,11,2026,1482908,00527213335,5,N, , ,Y,N,N
00026356,11,2026,360507,00527258032,6,N, , ,N,N,N
00026356,11,2026,991039,00527296137,4,N, , ,N,N,N
00026356,11,2026,991194,00527296237,4,N, , ,N,N,N
00026356,11,2026,1435115,00548231100,5,Y,2.24,28,Y,N,N
00026356,11,2026,854228,00548560100,2,Y,18,30,N,N,N
